"","police_event_information_date_time_received","long","lat"
"344",2025-05-07 02:27:04,-86.6108966,36.0338815
"345",2025-05-07 02:27:52,-86.7154677,36.2509998
"346",2025-05-07 02:29:39,-86.7114545,36.0769945
"347",2025-05-07 02:37:57,-86.7596167,36.2296886
"348",2025-05-07 02:47:22,-86.6775064,36.1079881
"349",2025-05-07 02:48:33,-86.6715948,36.0597177
"350",2025-05-07 02:58:15,-86.8018936,36.2065883
"351",2025-05-07 02:59:11,-86.6087552,36.044212
"352",2025-05-07 03:08:29,-86.609137,36.0452881
"353",2025-05-07 03:17:33,-86.6061229,36.0500789
"354",2025-05-07 03:23:39,-86.6715948,36.0597177
"355",2025-05-07 03:31:36,-86.622216,36.010466
"356",2025-05-07 03:37:47,-86.6198387,36.0170302
"357",2025-05-07 22:24:19,-86.6715948,36.0597177
"358",2025-05-07 22:29:12,-86.7175148,36.2636365
"359",2025-05-07 22:30:00,-86.7729415,36.1075641
"360",2025-05-07 22:34:23,-86.7175148,36.2636365
"361",2025-05-07 22:36:03,-86.6922277,36.1849133
"362",2025-05-07 22:41:33,-86.780449,36.2429319
"363",2025-05-07 22:42:59,-85.6907733,35.2426646
"364",2025-05-07 22:47:33,-86.7743521,36.0601163
"365",2025-05-07 22:48:13,-86.8173443,36.2735182
"366",2025-05-07 22:49:24,-85.6907733,35.2426646
"367",2025-05-07 22:51:07,-86.6729996,36.1063001
"368",2025-05-07 22:56:39,-86.647199,36.0836597
"369",2025-05-07 22:58:46,-86.6250477,36.0659452
"370",2025-05-07 22:58:51,-86.7572903,36.2632275
"371",2025-05-07 22:59:33,-86.7065571,36.0855403
"372",2025-05-07 23:01:00,-86.7724728,36.040878
"373",2025-05-07 23:03:43,-86.6001145,36.0487599
"374",2025-05-07 23:03:45,-86.7067136,36.0870272
"375",2025-05-07 23:08:55,-86.6146704,36.0442356
"376",2025-05-07 23:09:35,-86.7175148,36.2636365
"377",2025-05-07 23:12:33,-86.6775064,36.1079881
"378",2025-05-07 23:13:58,-86.7058456,36.0841535
"379",2025-05-07 23:17:43,-86.7129216,36.081941
"380",2025-05-07 23:18:02,-85.6907733,35.2426646
"381",2025-05-07 23:18:21,-86.609137,36.0452881
"382",2025-05-07 23:19:40,-86.7101408,36.2727714
"383",2025-05-07 23:20:41,-86.7170258,36.0629072
"384",2025-05-07 23:25:31,-86.7101408,36.2727714
"385",2025-05-07 23:27:43,-86.6091012,36.0465738
"386",2025-05-07 23:28:25,-86.6975995,36.1165765
"387",2025-05-07 23:33:45,-86.7743521,36.0601163
"388",2025-05-07 23:33:50,-86.633195,36.0684812
"389",2025-05-07 23:37:03,-85.6907733,35.2426646
"390",2025-05-07 23:40:59,-86.725793,36.0770408
"391",2025-05-07 23:44:00,-85.6907733,35.2426646
"392",2025-05-07 23:44:10,-86.7664801,36.0831673
"393",2025-05-07 23:46:22,-86.7224584,36.2445245
"394",2025-05-07 23:47:18,-86.7207549,36.0790697
"395",2025-05-07 23:55:26,-86.7326302,36.0989665
"396",2025-05-08 00:04:33,-86.7170258,36.0629072
"397",2025-05-08 00:06:13,-86.7101408,36.2727714
